;we.ep;we.eBH;wi.ep;wi.eBH;;;;;;;;;
8bf5c3ce0f4325a075b3080691df7234;0.119489443;0.990305555;0.031988186;0.958852807;;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes;;8bf5c3ce0f4325a075b3080691df7234
7c9ab10ab4c8c7e62a9dbf5e8c9a807c;0.173188781;0.978482628;0.203984986;0.968933764;;;;;;;;;
15a7f644ea4af1732c4e43e3e5185896;0.157442545;0.983924332;0.181993328;0.970652415;;;;;;;;;
95b0de76367430c515f09c80ee56ca30;0.158812344;0.985577665;0.1868338;0.974479113;;;;;;;;;
3a80ef12e5b955a5698245876447e0bb;0.129497309;0.983814758;0.18113495;0.975140291;;;;;;;;;
b7a657a1147fac3b3bf48e23405ae7a4;0.189261436;0.988710679;0.138456397;0.976425448;;;;;;;;;
78b529f223f0b1d1b7c851601f7f92ea;0.270007072;0.984898118;0.343599278;0.980216643;;;;;;;;;
085e5eb2d3037909facccf53f7a7c239;0.406563884;0.991089871;0.465126234;0.981468534;;;;;;;;;
52a027e5e8ea67018101f06718d8f338;0.454503519;0.984387162;0.509430597;0.982322889;;;;;;;;;
0e04a2fffa73050aca69e9408d5fc350;0.131136226;0.990231311;0.077996452;0.982468079;;;;;;;;;
3cb7dc1069d5e48227b7c990175b5b1d;0.344566109;0.98886704;0.415906199;0.982678181;;;;;;;;;
05e0a7d8b572d2998674e7f47f36326c;0.283676657;0.983263636;0.365462387;0.982870617;;;;;;;;;
5ca7489457a084e5a3bd5baad1c04ac0;0.153993965;0.99007666;0.104627404;0.982933483;;;;;;;;;
f1c0ffb61cc756c28ff9498c93c64345;0.283495488;0.98889056;0.343045879;0.983336695;;;;;;;;;
6225e7f6a926b5d2be2a1a5cf848e224;0.370005823;0.99122185;0.429584019;0.983396971;;;;;;;;;
ae6b41b5ef2c69da0285a86c4cd62966;0.539228433;0.985049544;0.573055391;0.983528787;;;;;;;;;
bc8135239e5e730f5eb32985b5269740;0.259713594;0.988796552;0.349258921;0.983540611;;;;;;;;;
75b048dc462f1dec69ccfe8470c450c3;0.277328477;0.990191779;0.322017688;0.983666092;;;;;;;;;
acaec9065cfa8ac56d56a61748d037a7;0.297817105;0.991022139;0.297044362;0.984023977;;;;;;;;;
35cfe1c9771d27135ed64f971dec7cd5;0.316070767;0.987980775;0.305498637;0.984191147;;;;;;;;;
e01eba354e28efdfb9bbf0afc1606616;0.401161178;0.9854654;0.479884178;0.984378662;;;;;;;;;
de6eebfe60f5636dd79fded131750575;0.123308914;0.989731851;0.093084122;0.984565873;;;;;;;;;
3013e61c43269bab78ef59d5884eaea7;0.229322569;0.988999178;0.309111155;0.984615421;;;;;;;;;
193bc4922c3485cbe69c159c3d53bdbc;0.545582287;0.986428101;0.55514031;0.984638045;;;;;;;;;
b2aa503ad83456bfea717b5801495e89;0.374455841;0.99132218;0.401755001;0.98479903;;;;;;;;;
432516a8b09a9fcdccd304839b35cd76;0.405239326;0.991177073;0.449871773;0.985202135;;;;;;;;;
93da6ba54156011b64a016be7193eb03;0.261267672;0.989906497;0.288852967;0.985416248;;;;;;;;;
b4d4d327665eca0690df4b968c7988d0;0.483561632;0.991295234;0.527450123;0.985589068;;;;;;;;;
b930c2617cd6a46fba4627fe07e37d9e;0.206576025;0.990580057;0.142169503;0.985602964;;;;;;;;;
6b13ed02cdca454c9c591d0e760bbac4;0.480653553;0.991308871;0.492202283;0.985768209;;;;;;;;;
587d7f2794222f24aa2f2c56c6e780ee;0.465386089;0.990887624;0.509965678;0.985988778;;;;;;;;;
5325528d0b408e975f6e715413453f50;0.471830723;0.988909679;0.491435816;0.986013096;;;;;;;;;
5b1c0525da88e071fe6e3ca7d9cf0856;0.23375722;0.990968265;0.307838531;0.986042787;;;;;;;;;
92110e534ca8495d1155be9f01724c25;0.508893546;0.988913152;0.502099188;0.986056293;;;;;;;;;
37b91d371ff9ea380885da8cd46e41ac;0.458426497;0.98730401;0.47946929;0.986199394;;;;;;;;;
73bbe2cdc6b8b7b4d75db3547a63ac27;0.461755708;0.991750034;0.477535286;0.986417072;;;;;;;;;
a89a10efc11a1e15d966bf26a859e0a8;0.426812183;0.991096162;0.467305121;0.986582477;;;;;;;;;
06d3fedb4904097317a95f5ec560fd02;0.489296424;0.991923796;0.488391158;0.986648217;;;;;;;;;
b96f2b945ba7fc6593af5f8fdc18b314;0.388080881;0.99135433;0.486074082;0.98665116;;;;;;;;;
32bece03cf9b128ae982efbd335eb800;0.496773224;0.989951913;0.516388896;0.986653279;;;;;;;;;
7282cce8b7ed6be25babcd226898f019;0.296586122;0.990708277;0.319717644;0.986816989;;;;;;;;;
f68c2e8429ae00ae66a17acca9e72b3b;0.302985781;0.990749401;0.304280324;0.986828171;;;;;;;;;
1c5fa4c003007957ab5818093c5b6fe1;0.392201474;0.991484939;0.461548424;0.986947942;;;;;;;;;
e1f0a74db403ef1ecda3d5d216330b47;0.49239632;0.987615116;0.524672846;0.987041707;;;;;;;;;
eb1fedd5c557e7a50529d4150de5eefe;0.372313465;0.991543622;0.44686086;0.987099558;;;;;;;;;
f938a407edf460037e10cedb8d034770;0.312536787;0.990600028;0.328082258;0.987125658;;;;;;;;;
203b629bcac99d0261fafc091aa80449;0.514913059;0.992128045;0.567057024;0.987215822;;;;;;;;;
b6e7deec368e90c6a7ff71ec8f8e4a1c;0.482331147;0.991966833;0.514769192;0.987226206;;;;;;;;;
e798b8e658c8a42098dcfe9cf65fdb4b;0.515547789;0.992058388;0.553104111;0.987265645;;;;;;;;;
830df189191f46c4ce541e9939d9c834;0.533823392;0.991933531;0.541687449;0.987267889;;;;;;;;;
80c034fa1af1c331c704188d7b35c707;0.491271271;0.990928478;0.521861824;0.987281136;;;;;;;;;
7485b4c2c9da19eb5eae500d9b13dad8;0.198289353;0.989855528;0.187259294;0.987327015;;;;;;;;;
ec8e0fc742edd8ae49ac372faa9996d6;0.497668512;0.990542079;0.551963248;0.987356654;;;;;;;;;
a2d9648ec7c3eb8e220dbbcdfd3ad428;0.263114613;0.9909339;0.306390117;0.987408112;;;;;;;;;
ebe1f36b90cded8a2cdb01271a18faf3;0.483210768;0.992108665;0.496000553;0.987474164;;;;;;;;;
648994540bb15c2a1bcfc6414e43f6ae;0.463772243;0.990491773;0.46963441;0.987479399;;;;;;;;;
5436d8b5b9dca478f8322479803ede42;0.310026674;0.99068801;0.404854291;0.987487655;;;;;;;;;
e4f47256e265bc200fd40a61f21bfe7a;0.479799292;0.99207621;0.503779952;0.987504585;;;;;;;;;
f6286837e81c64eac7385162ceae44a1;0.488268726;0.991902342;0.527797203;0.987509581;;;;;;;;;
f51b8a697b6da849fbb834044141a4da;0.498650526;0.991604101;0.546290107;0.987520666;;;;;;;;;
f00f1b101c8164195fee05c4de2474e5;0.473130349;0.992139011;0.507710304;0.987523063;;;;;;;;;
aaf014ea2ffae03e9fe2ed9d37947c3d;0.507195597;0.990352469;0.520688181;0.987576238;;;;;;;;;
5c84c21def336e527ede76f218d67ae9;0.492943846;0.991771642;0.490987505;0.987770133;;;;;;;;;
38d4dc7dc33916be92ee2aa1f93fbb48;0.455978199;0.989401479;0.503929067;0.987802226;;;;;;;;;
027184f9f93bd61b244869f2aea3f75a;0.371798144;0.99133757;0.401127044;0.987822631;;;;;;;;;
1a2add9f324f827ff143508268d51c27;0.237072625;0.99069555;0.312885644;0.987828117;;;;;;;;;
aa882eab2aac364711b39b41afa2041e;0.444986408;0.991456366;0.471034297;0.987829194;;;;;;;;;
acda554de2f94bbcd707d7c0c73e36a4;0.39237301;0.991411499;0.451894475;0.987829836;;;;;;;;;
56f91dcd3b5951f7bf326af19589c472;0.475455081;0.992150648;0.509172216;0.987897834;;;;;;;;;
c2b07bb9f4785008f2b7917a5c6443dc;0.423681917;0.991550951;0.498367441;0.987899132;;;;;;;;;
d592f02a2a22cfe8293a6ddc330b7d38;0.460913504;0.992138189;0.50429575;0.987958262;;;;;;;;;
45985dfa875b453213c740997f41b503;0.282701531;0.98468876;0.343557499;0.987968349;;;;;;;;;
a321bbd76566f7c958b4fd1d63cebbb7;0.511389608;0.992343092;0.542967786;0.988030153;;;;;;;;;
d661850082f6d04ddecea7d4c6a80fe8;0.384264806;0.991867882;0.462548848;0.988051041;;;;;;;;;
599fd857ec5950107c39eb7c4210b113;0.487950905;0.991364461;0.540184402;0.988064073;;;;;;;;;
b6195eb129bbb621be63c836d34deb8c;0.362528641;0.985219034;0.432067243;0.988136254;;;;;;;;;
07f4c981b728d2323dfb593a090b950b;0.457645578;0.984659017;0.517966179;0.98818125;;;;;;;;;
