;we.ep;we.eBH;wi.ep;wi.eBH
Ruminococcus;0.046275023;0.951620462;0.004883536;0.443671952
Lachnospiraceae_UCG-001;0.200287031;0.986004286;0.146263112;0.991795751
Bilophila;0.169811821;0.983604008;0.149866953;0.992734219
Lachnospiraceae_UCG-004;0.250764361;0.979156633;0.220823478;0.980331604
UCG-002;0.63840118;0.987736623;0.222216616;0.994419643
Lachnospira;0.419941786;0.986867117;0.260541894;0.994419643
Veillonella;0.307563355;0.960562981;0.33639738;0.959611821
Anaerostipes;0.257626909;0.986174512;0.337545313;0.995040718
[Eubacterium]_coprostanoligenes_group;0.181917983;0.985830782;0.349391004;0.994419643
Erysipelotrichaceae_UCG-003;0.528802452;0.9870929;0.359953144;0.995339119
Clostridium_sensu_stricto_1;0.315281006;0.984171409;0.365895272;0.995040718
Intestinibacter;0.421792598;0.9868186;0.38759159;0.995326383
[Eubacterium]_eligens_group;0.317158632;0.986178372;0.388208299;0.995709516
Barnesiella;0.38069094;0.987324345;0.388611297;0.99475253
Slackia;0.430077603;0.971197844;0.408939544;0.961291021
unknown_Ruminococcaceae;0.154575462;0.984979422;0.410299902;0.995373605
UCG-004;0.375832693;0.971012449;0.411438516;0.978504903
[Eubacterium]_hallii_group;0.811848234;0.988515965;0.411786559;0.995040718
Incertae_Sedis;0.424275001;0.987199072;0.419264834;0.995388533
Odoribacter;0.466125774;0.987899006;0.419648229;0.994400572
unknown_Christensenellaceae;0.420364195;0.967992027;0.431440894;0.959058774
Campylobacter;0.411441619;0.984711723;0.441942616;0.992079857
[Clostridium]_innocuum_group;0.420502867;0.978475366;0.443058412;0.966277321
Fusobacterium;0.43503952;0.976539539;0.468918398;0.966403498
Sellimonas;0.397192138;0.975928125;0.476962284;0.979766722
Peptoniphilus;0.460283576;0.986598598;0.484770928;0.989666923
Faecalitalea;0.428929197;0.980848118;0.484934183;0.98946852
Anaerosporobacter;0.443513282;0.987096224;0.486450728;0.993933729
Peptococcus;0.452432522;0.986502605;0.486595987;0.993119538
[Eubacterium]_oxidoreducens_group;0.490369779;0.986588372;0.486803913;0.995390248
Marvinbryantia;0.480680377;0.976506833;0.494258086;0.97765636
Lentimicrobium;0.459982237;0.98134977;0.49862743;0.990093845
Lachnospiraceae_ND3007_group;0.515593717;0.987454365;0.500979535;0.995744002
Robinsoniella;0.475398438;0.982380139;0.501444236;0.987151492
Chloroplast;0.49755191;0.985846788;0.505212297;0.991072999
[Ruminococcus]_torques_group;0.448048974;0.986913217;0.510225987;0.995373605
unknown_Marinifilaceae;0.499252106;0.9856928;0.511027805;0.981057042
Weissella;0.507894695;0.987418956;0.512679003;0.994823687
unknown_Peptostreptococcaceae;0.512881748;0.987291178;0.517122905;0.993226154
Corynebacterium;0.462311682;0.986078992;0.518005708;0.984482319
Frisingicoccus;0.471197972;0.986472121;0.518028203;0.995641489
Rothia;0.492242675;0.980512742;0.519785775;0.977771807
Victivallaceae;0.527888777;0.985634372;0.520840511;0.990846914
CAG-56;0.476606555;0.983968172;0.520899321;0.992657309
unknown_Barnesiellaceae;0.497053614;0.981948832;0.521238688;0.990178947
Coprobacillus;0.502490433;0.986715012;0.522927807;0.994514235
Moryella;0.45158917;0.98654884;0.524186613;0.99251498
Adlercreutzia;0.488442021;0.986050479;0.527687616;0.993925731
unknown_Eggerthellaceae;0.551525448;0.987757751;0.528679684;0.995862283
Fastidiosipila;0.474069936;0.983556789;0.5304665;0.990227853
Prevotellaceae_UCG-001;0.516655736;0.979614842;0.532671419;0.987193101
Paludicola;0.505737186;0.983523451;0.533456204;0.984745243
Eggerthella;0.488457561;0.98727823;0.536433374;0.99374097
Solobacterium;0.49805194;0.987263142;0.537001555;0.99601958
unknown_Oscillospirales;0.494338491;0.987798117;0.538735667;0.988974209
Desulfovibrio;0.502653336;0.982545295;0.540208505;0.992833996
UCG-009;0.501276876;0.981114336;0.541201216;0.98084684
Lachnospiraceae_FCS020_group;0.491217246;0.987438409;0.541404643;0.994733542
DTU089;0.471309893;0.979180855;0.54146731;0.990067089
DTU014;0.505448087;0.98454639;0.541652419;0.980364442
Victivallis;0.52921479;0.987045215;0.542125154;0.993965479
unknown_Pasteurellaceae;0.498606649;0.982887568;0.54232826;0.982197003
Izemoplasmatales;0.50433275;0.986634059;0.544254551;0.992303981
Merdibacter;0.515055837;0.98579255;0.545363276;0.995662208
Erysipelatoclostridium;0.490458804;0.987227951;0.545978378;0.99640477
Howardella;0.555030659;0.986279359;0.546911315;0.985798518
Candidatus_Soleaferrea;0.551834045;0.985476165;0.546960163;0.982869158
Candidatus_Nitrososphaera;0.52582055;0.985699513;0.549232569;0.993770723
Lactobacillus;0.530737422;0.987328106;0.549603108;0.995794775
unknown_Bacteria;0.551379776;0.978018347;0.552342143;0.984636716
Libanicoccus;0.49111988;0.981370861;0.553135284;0.988443836
Lactococcus;0.508498242;0.985823976;0.553539246;0.990960497
Atopobium;0.51830907;0.982333991;0.555914811;0.981217676
Colidextribacter;0.52004449;0.987152534;0.556319095;0.995373605
unknown_Anaerovoracaceae;0.597225811;0.988323528;0.556901095;0.995824558
unknown_Atopobiaceae;0.518969978;0.985163774;0.559596102;0.99289652
UC5-1-2E3;0.533672876;0.98748455;0.560045699;0.995296791
Actinomyces;0.552117615;0.988576281;0.561886505;0.995819707
Gemella;0.536586515;0.988560962;0.5657047;0.99435892
unknown_Succinivibrionaceae;0.578508062;0.987536251;0.567432384;0.991589217
CAG-352;0.597909192;0.987938937;0.568706936;0.990759191
Hungatella;0.572820676;0.98811927;0.569351283;0.99352288
[Eubacterium]_xylanophilum_group;0.42691532;0.986473354;0.571476501;0.994535365
Coprobacter;0.54953611;0.987257682;0.572684209;0.995053352
Paraprevotella;0.585602317;0.987272304;0.576969997;0.995585889
unknown_Oscillospiraceae;0.192616281;0.985300928;0.577315469;0.995744002
Methanobrevibacter;0.552684751;0.987780117;0.578215948;0.990857734
unknown_Bacteroidales;0.578160841;0.987777522;0.581324879;0.993109346
[Eubacterium]_nodatum_group;0.525394802;0.987289119;0.58147753;0.991819206
GCA-900066575;0.525992763;0.986707951;0.581942231;0.995912434
UBA1819;0.567659438;0.987595766;0.585554749;0.993730784
Senegalimassilia;0.573799134;0.986492384;0.587393948;0.994165286
Holdemanella;0.544910647;0.988339206;0.590364369;0.996523433
unknown_Rhodospirillales;0.73045157;0.987848553;0.591114125;0.995821539
vadinBE97;0.575627836;0.987898105;0.591293771;0.993724516
Gordonibacter;0.572536545;0.986741777;0.595337245;0.995814115
Blautia;0.832727722;0.988842806;0.596931561;0.995609147
Eubacterium;0.576851518;0.9878664;0.598821858;0.993120273
unknown_Prevotellaceae;0.587697172;0.986667486;0.599548797;0.995693894
Alloprevotella;0.629199821;0.986522302;0.603450226;0.995374674
unknown_Peptococcaceae;0.593400802;0.988175614;0.60438252;0.996062998
Porphyromonas;0.568670457;0.987904862;0.605534952;0.996170231
Eisenbergiella;0.587915025;0.986790121;0.60606007;0.994882826
[Eubacterium]_ruminantium_group;0.602748407;0.987123497;0.608802962;0.995839083
Muribaculaceae;0.601830696;0.987379855;0.609394604;0.995812418
unknown_Clostridia;0.591353234;0.988120117;0.615434749;0.992884651
Bifidobacterium;0.768754701;0.98785995;0.615897522;0.995744002
Fournierella;0.622427645;0.98740547;0.616865166;0.989965614
Family_XIII_AD3011_group;0.610581364;0.98654416;0.617679196;0.995621338
Collinsella;0.596243499;0.987126944;0.62204147;0.996515305
unknown_Desulfovibrionaceae;0.55338252;0.982190031;0.623432358;0.988138554
Intestinimonas;0.599846223;0.987613741;0.626084623;0.995763276
[Eubacterium]_siraeum_group;0.675720879;0.987828832;0.627280119;0.995678081
Prevotella;0.654545519;0.987993765;0.64218975;0.995697247
[Eubacterium]_ventriosum_group;0.660286491;0.987682143;0.642599496;0.995841862
[Ruminococcus]_gnavus_group;0.663879111;0.988012263;0.645270401;0.996864966
Catenibacterium;0.647745223;0.988292885;0.64630714;0.996037708
Turicibacter;0.633078871;0.987752135;0.648157908;0.995506263
RF39;0.539776794;0.988105089;0.648804826;0.996815589
Subdoligranulum;0.637129176;0.987714491;0.651986708;0.996777825
Family_XIII_UCG-001;0.618879493;0.987234555;0.656491027;0.996542567
Coprococcus;0.633485175;0.987592176;0.664782047;0.996685531
Anaerotruncus;0.621677926;0.987683513;0.666341655;0.995883552
NK4A214_group;0.663288788;0.98782666;0.667427885;0.996164654
unknown_Coriobacteriales_Incertae_Sedis;0.645554577;0.988618857;0.673443285;0.996301392
Lachnospiraceae_UCG-008;0.645785198;0.988063119;0.675247133;0.997161644
[Ruminococcus]_gauvreauii_group;0.629197174;0.987464071;0.678472401;0.995998376
UCG-010;0.678515119;0.987890135;0.682426535;0.995499338
Roseburia;0.769424642;0.988609284;0.684523473;0.995750373
Akkermansia;0.617161923;0.988194781;0.685719611;0.996331552
unknown_Lachnospiraceae;0.650891356;0.987530556;0.690466565;0.995907247
Enterorhabdus;0.648386455;0.987530447;0.704167845;0.99598023
Holdemania;0.624774657;0.987297552;0.709570393;0.995805858
Parasutterella;0.695388854;0.988169336;0.709947038;0.995665645
Romboutsia;0.764962089;0.98795132;0.730977157;0.996009114
Parabacteroides;0.81252326;0.989164346;0.734334829;0.996331496
Clostridia_vadinBB60_group;0.711328098;0.988188752;0.737892714;0.996040481
Tyzzerella;0.688168812;0.9879598;0.747338737;0.996233355
UCG-005;0.732396861;0.987863195;0.748957476;0.996519544
Gastranaerophilales;0.727625486;0.988856724;0.752926072;0.996018578
Lachnospiraceae_UCG-010;0.74755243;0.988479286;0.781491027;0.997113552
Faecalibacterium;0.789204897;0.989670181;0.79792138;0.996317748
Lachnoclostridium;0.530818777;0.987455489;0.800308194;0.996314864
Butyricimonas;0.702273927;0.988553395;0.804316961;0.997130071
Phascolarctobacterium;0.722777498;0.988463;0.810258124;0.996319666
UCG-003;0.741090287;0.987971305;0.810704186;0.996455022
Butyricicoccus;0.786422442;0.988347534;0.811377455;0.996629785
Streptococcus;0.732325073;0.98841208;0.820165955;0.996617103
Dorea;0.808064456;0.989000941;0.822304671;0.996548155
Lachnospiraceae_NK4A136_group;0.800665435;0.988886248;0.822598082;0.997036311
Flavonifractor;0.741664395;0.988703125;0.826826987;0.997037303
Monoglobus;0.789103739;0.988356824;0.82891557;0.996954508
Dialister;0.746204811;0.988337254;0.84315418;0.99687831
Christensenellaceae_R-7_group;0.788068259;0.988462781;0.844528358;0.996770902
Bacteroides;0.867710574;0.989388461;0.850412639;0.99750685
Sutterella;0.74337263;0.988472594;0.850925866;0.997385251
Alistipes;0.475107041;0.987190803;0.85892444;0.997458073
Fusicatenibacter;0.798772335;0.988920326;0.86341976;0.996697253
Agathobacter;0.70825379;0.988411214;0.870430764;0.997090042
Clostridia_UCG-014;0.779299366;0.988706971;0.872526095;0.99698656
Oscillibacter;0.749329623;0.988798413;0.893718827;0.997683056
