;we.ep;we.eBH;wi.ep;wi.eBH
21244344ecc11d34801ea1a3e7e60729;0.021048892;0.991042008;0.02799838;0.988791577
b91a9a16d4d797fd6f6b9d3a655aa5e7;0.031959137;0.991042008;0.057554119;0.993568968
89d4f3c8d20005913ca15c7b635d3d19;0.337354759;0.991518196;0.077040698;0.99507139
4ca92d367c70c60d30bf725ceb1f82ea;0.263692942;0.99116113;0.081221719;0.993600822
08c22a9d8bb7bb0aa334775a1f444efc;0.107197401;0.991125337;0.089111348;0.990728467
14ad19874f17654aa7f64050e16d13b1;0.305269852;0.991366643;0.091062706;0.995396863
af7573a2caa33cb73ef07337c56b4050;0.303093222;0.991042008;0.138948092;0.994731565
6465753b13fc655ffdcf55e9b2b1f231;0.337720927;0.991538918;0.151839521;0.996611531
d295301ca316b11f916b115180d6a92e;0.339930429;0.99176249;0.153677113;0.996669456
3cf46c0ca8ec21edd4831352fc7a1ae8;0.25598075;0.991212652;0.173009435;0.99642804
de6eebfe60f5636dd79fded131750575;0.220808938;0.991601419;0.189857569;0.997532436
1931084be1b2a907219ec4b13d1d8c21;0.272071422;0.991394769;0.193436986;0.997854139
c77f4312cec3caab4a83e15ff7215c7c;0.229023159;0.991128966;0.221370449;0.993161855
22fdb4b39be6e08a9a29cb4b0e22ea95;0.767157441;0.993785151;0.232433284;0.997781091
2e5a9c050870b403ddc7679e31e89b96;0.305874783;0.991243893;0.254939454;0.997626265
2d31dc935aa587745e082c698bcd63aa;0.252850861;0.991180168;0.256951872;0.99723552
461761ec8e1b9d157fd577f4614209fe;0.243776276;0.991191025;0.260903435;0.997781091
88b13f896b43b9b3135b53c7d06fc6bd;0.456229468;0.991791737;0.272447681;0.997731798
4e4cb10417b85d935196cabfabbfb366;0.218447588;0.991042008;0.275277664;0.997664101
78b529f223f0b1d1b7c851601f7f92ea;0.228839055;0.99132372;0.282828568;0.997545153
2edb2ff3dc53cebd80d8dd431d74d7e7;0.289821819;0.991184137;0.286871401;0.995957675
0524c4d1ed77e725a474d64be0dee997;0.221549425;0.99029465;0.287470434;0.996209083
4c4ea0e3e2af30ab147dfc7ad80049ef;0.348557768;0.991366874;0.299442745;0.997278966
6253ce28e651ec93677c7e2b80fa9ead;0.251523673;0.990324234;0.304477967;0.994631293
8a2688eb5d3a77d9ebaf55603f6efda1;0.421258362;0.991714393;0.306984009;0.997792214
379e9f3cb514ded7c9b32f7eb252a9f2;0.753185509;0.993987939;0.309668732;0.997781091
33861105086018c1be6fecd277ceb104;0.281976146;0.991216473;0.310675262;0.997781091
3089ce0b348d4c3ed450a8c83dc0f9b0;0.474463499;0.992368143;0.317058309;0.997781091
4a629adf2dd830dada3564c852d284f4;0.265717623;0.991154633;0.320290004;0.996654155
8d5f0bd7447b3c585cab3e7ae7cef149;0.224092955;0.99122379;0.320646725;0.993341287
8e4aef87d42dfa1db2d2a7f2ca3b08b3;0.329864583;0.991136126;0.330004371;0.997854139
7cf6424b10309a84c781cf5205eb4fd0;0.286121712;0.991747342;0.344097079;0.99751131
c1d7f62eb2f01321027841a06773db54;0.362926392;0.991403557;0.344168423;0.99686539
c8f203a2c1ac2ea87faa976193b61e61;0.470901408;0.991828242;0.3447681;0.997781091
35cfe1c9771d27135ed64f971dec7cd5;0.325228998;0.991868173;0.354932384;0.99570619
b5e1efb5757937645f31bee598a300c7;0.383971764;0.991553902;0.361295506;0.997150259
ce173adee6ffeeadd42e58023f602150;0.435103898;0.991767779;0.363299568;0.997827703
c4c8b5cfba3b099e7538ba0c6e3f9ab9;0.381695875;0.991732132;0.367547434;0.997604429
bbaa2d875c06e67c78d32f8c71cfde91;0.471951797;0.992022403;0.369270619;0.997995458
3924d4839f3be7e3eb22cc2bce17d98d;0.355070397;0.991788217;0.387465292;0.997011995
bc7d5edf9abc73e08fec1f4ea258b0a7;0.342943608;0.991876001;0.39378985;0.99545237
8afa810ee344c37475bf653c43a6c53a;0.446757637;0.991928081;0.398770439;0.997350734
55326a0fc89970a4a2b33b5aa731ea42;0.470609391;0.992123563;0.401190997;0.997798083
b3c5ebf8cc0c6672db038ceb0e94b058;0.252856805;0.991054154;0.403300468;0.997907831
3fe3e1f4902f044c6383c382827825b4;0.443168541;0.991665008;0.4040634;0.997809367
