ID	ESANII111	ESANII114	ESANII116	ESANII117	ESANII118	ESANII124	ESANII131	ESANII135	ESANII137	ESANII140	ESANII211	ESANII214	ESANII216	ESANII217	ESANII218	ESANII224	ESANII231	ESANII235	ESANII237	ESANII240	ESANII311	ESANII314	ESANII316	ESANII317	ESANII318	ESANII324	ESANII331	ESANII335	ESANII337
219cdc20304f0627d569f56acf340ec6	99	22	42	70	41	123	16	51	49	113	151	13	50	63	30	98	25	27	28	74	112	38	25	35	0	112	36	23	47
288f3f8c5ffb807d7215c2f8e154a564	94	28	30	74	55	145	19	41	65	123	155	17	58	67	34	85	18	22	25	70	135	42	37	33	0	167	27	13	50
753bb91cb49b69c672d75ef9210279bd	160	0	39	0	0	0	24	0	0	221	92	6	75	0	0	0	10	27	0	122	63	0	76	0	0	0	10	18	0
b5afef40bfe3aeba73aff5acaec5fce4	125	0	46	0	0	0	18	0	0	166	113	4	82	0	0	0	8	18	0	131	60	0	75	0	0	0	6	21	0
51697def36513fe1c3d110e16dbc1ffc	71	16	30	56	10	92	16	82	53	94	139	21	44	37	24	85	15	26	15	48	97	0	12	28	25	144	24	18	37
edae9e8f0e9fb3ab0f8a0c83c3f4fe0d	68	18	26	50	15	87	14	82	51	82	99	15	32	36	16	87	14	26	35	61	84	0	12	25	22	126	24	25	48
49882e6cacc2e2483c43926aa91bd8d3	45	5	23	27	0	74	19	49	36	87	110	26	39	43	15	73	20	21	20	56	73	0	15	25	27	111	22	24	41
60630a4c94e434004ee2dea70453ee8d	56	5	17	43	0	93	20	36	40	80	107	17	40	43	17	64	12	19	20	55	87	0	20	25	27	115	19	14	33
1433d631c9749aff7b355160f052f281	56	0	14	33	0	88	9	0	40	75	99	11	38	27	30	49	9	20	18	39	82	0	28	23	0	93	22	12	30
0614d53b121b1b4f527d55b10c171b03	111	0	30	0	0	0	7	0	0	147	80	0	64	0	0	0	11	14	0	99	37	0	47	0	0	0	0	14	0
6219968d331f5089259292d16563b6e6	55	0	22	44	0	64	13	0	36	74	105	18	38	35	20	58	17	19	25	43	79	0	17	23	0	99	20	15	32
f763c5dba7abc1c9893a3cb33ac6eaac	97	0	29	0	0	0	5	33	0	128	79	0	62	0	0	0	6	10	0	100	42	0	43	0	0	0	0	5	0
548e262a8a34d0fc87a55fdab500c9e9	21	20	34	29	9	131	51	33	22	25	8	16	50	25	11	148	41	23	27	22	8	16	63	70	30	98	36	32	24
65ef4a8e0376cd1999d968fa391fa13c	106	0	29	0	0	0	6	25	0	118	62	0	54	0	0	0	12	13	0	84	41	0	45	0	0	0	0	14	0
a3dce59edc8457f1a212b33fd2c44cd7	0	18	23	61	34	0	19	15	12	0	0	65	39	33	35	0	14	28	24	0	0	31	19	100	27	0	6	16	18
b3c5ebf8cc0c6672db038ceb0e94b058	28	15	27	24	22	130	37	29	13	22	15	22	43	24	11	126	36	25	16	26	7	19	48	66	12	89	31	29	22
a41eea2cca115982fd3886409d3e224f	40	0	19	56	0	73	15	0	38	70	78	15	29	21	17	55	19	20	16	44	70	0	19	29	11	98	16	14	31
cf73796ab26f1e8cf36c1e181ed10491	0	15	31	82	36	0	17	17	17	0	0	53	15	29	42	0	20	25	16	0	0	36	24	74	21	0	9	12	23
68db42285ed764093bd2e0a001db42dc	94	0	21	0	0	0	12	0	0	134	61	3	62	0	0	0	14	13	0	83	37	0	42	0	0	0	0	11	0
898863b383f852a325c520f32adb2e4b	95	0	20	0	0	0	13	0	0	140	68	0	61	0	0	0	4	11	0	88	33	0	39	0	0	0	8	20	0
15b1c8873abfc376b40902f63a890cfb	72	0	18	0	0	0	11	0	0	138	59	0	51	0	0	0	6	14	0	76	44	0	45	0	0	0	0	9	0
22fdb4b39be6e08a9a29cb4b0e22ea95	22	29	30	28	56	41	0	60	0	28	44	24	18	20	20	33	20	25	15	60	45	24	25	14	38	24	39	35	35
67444be6c1c67fe5c7d9d528fef15038	61	0	21	0	0	0	6	0	0	114	60	0	47	0	0	0	10	6	0	82	36	0	42	0	0	0	11	16	0
bcda103dae8acac0b3d9344d193ba01d	71	0	26	0	0	0	2	0	0	106	48	0	41	0	0	0	11	9	0	72	27	0	40	0	0	0	0	14	0
90b79fbd3a3cb57937616fb1126e1f85	18	47	28	28	45	0	12	0	16	41	18	20	39	37	26	0	38	6	13	17	24	0	27	43	33	0	27	50	26
5170506d93cfccd4f1e6663ab5aae0e5	20	14	28	48	52	50	16	0	14	33	16	19	37	0	19	33	36	0	12	14	35	71	35	21	19	61	0	23	6
14805da8fff33bca0911e7348d6bdc7e	10	14	39	50	56	40	29	0	25	26	23	20	37	0	23	35	38	0	7	10	32	62	34	26	26	50	0	31	17
379e9f3cb514ded7c9b32f7eb252a9f2	23	16	37	37	58	19	0	74	0	27	38	33	19	25	20	27	22	27	17	57	34	24	28	14	45	19	32	34	34
